Date,Reg1,Reg2,REGULUS,RegL,RegQ,RegSize,Bas1,Bas2,BAST,BasL,BasQ,BasSize,HW1,HW2,HEARTWD,HWL,HWQ,HWSize,Och1,Och2,OCHRE,OchL,OchQ,OchSize,AR1,AR2,ALCRES,ARL,ARQ,ARSize,MR1,MR2,MUNDRUNE,MRL,MRQ,MRSize,44896,44897,DECWAX,DecL,DecQ,DecSize,CP1,CP2,CLPELT,CPL,CPQ,CPSize
11-04-19,10,13,12,,,,12,15,14,,,,25,31,28,,,,7,9,8,,,,8,9,9,,,,268,335,302,,,,262,328,295,,,,,,,,,
11-07-19,10,13,12,,,,12,15,14,,,,26,32,29,,,,8,9,9,,,,7,9,8,,,,262,327,295,,,,260,325,293,,,,6,7,7,,,
11-10-19,10,13,12,,,,12,15,14,,,,27,34,31,,,,7,9,8,,,,7,8,8,,,,272,340,306,,,,261,326,294,,,,6,7,7,,,
11-15-19,11,14,13,,,,13,16,15,,,,25,31,28,,,,8,10,9,,,,7,9,8,,,,250,313,282,,,,264,330,297,,,,6,7,7,,,
11-24-19,10,13,12,,,,12,15,14,,,,27,34,31,,,,7,9,8,,,,7,8,8,,,,276,321,299,,,,257,321,289,,,,6,7,7,,,
12-11-19,11,14,13,,,,12,15,14,,,,28,35,32,,,,10,13,12,,,,8,10,9,,,,283,354,319,,,,259,295,277,,,,6,7,7,,,
09-21-20,22,27,25,,,,20,25,23,,,,312,390,351,,,,19,24,22,,,,8,10,9,,,,459,574,517,,,,305,382,344,,,,5,6,6,,,
09-26-20,21,27,24,,,,20,24,22,,,,316,395,356,,,,19,24,22,,,,8,10,9,,,,469,586,528,,,,310,388,349,,,,5,6,6,,,
10-04-20,21,27,24,,,,20,25,23,,,,325,406,366,,,,18,23,21,,,,8,10,9,,,,468,585,527,,,,315,395,355,,,,5,6,6,,,
10-07-20,20,25,23,1308,165432,126.48,22,28,25,971,108132,111.36,349,437,393,3086,202918,65.75,19,23,21,733,73445,100.20,8,10,9,1244,150593,121.06,479,599,539,4088,227440,55.64,330,413,372,2166,128813,59.47,5,7,6,,,
10-10-20,23,29,26,1304,173492,133.05,22,28,25,1047,125831,120.18,467,584,526,3487,229421,65.79,19,24,22,759,75949,100.06,8,11,10,1358,167878,123.62,500,625,563,4155,226183,54.44,382,478,430,2309,149021,64.54,,,,,,
10-13-20,25,31,28,1191,152778,128.28,24,30,27,999,122608,122.73,481,601,541,3523,212376,60.28,19,24,22,732,74844,102.25,9,11,10,1345,173240,128.80,508,635,572,3838,196099,51.09,424,530,477,2540,153381,60.39,,,,,,
10-17-20,30,37,34,1228,154878,126.12,28,35,32,1145,146868,128.27,473,592,533,3413,202615,59.37,18,22,20,716,75512,105.46,10,12,11,1323,177060,133.83,531,664,598,3624,167739,46.29,441,551,496,2648,139222,52.58,,,,,,
10-20-20,32,40,36,1325,166133,125.38,30,37,34,1153,144371,125.21,479,598,539,3561,202156,56.77,19,23,21,713,73035,102.43,10,13,12,1412,185225,131.18,548,685,617,3765,162114,43.06,455,568,512,2682,136324,50.83,7,9,8,,,
10-24-20,31,39,35,1487,181035,121.75,31,39,35,1108,118525,106.97,486,608,547,3628,198905,54.82,20,25,23,737,72808,98.79,10,13,12,1408,175092,124.36,546,683,615,3813,160966,42.22,453,567,510,2905,138885,47.81,9,11,10,,,
10-27-20,31,39,35,1363,167404,122.82,30,37,34,1093,115287,105.48,474,592,533,3357,191898,57.16,20,24,22,690,67318,97.56,10,13,12,1218,145532,119.48,541,676,609,3466,155827,44.96,438,548,493,2996,148997,49.73,8,10,9,,,
10-31-20,30,38,34,1187,151428,127.57,30,37,34,955,107327,112.38,466,588,527,3261,185626,56.92,20,25,23,678,73410,108.27,10,13,12,1197,149491,124.89,536,670,603,3247,144898,44.63,432,539,486,2898,150305,51.87,8,10,9,,,
11-03-20,30,37,34,1166,151548,129.97,30,37,34,923,107768,116.76,461,576,519,2942,164709,55.99,20,25,23,634,71888,113.39,10,13,12,1174,146825,125.06,531,664,598,3009,124783,41.47,428,535,482,2630,125373,47.67,9,11,10,,,
11-07-20,30,37,34,1117,140760,126.02,28,36,32,972,113333,116.60,448,560,504,2626,152794,58.19,19,23,21,677,75760,111.91,9,12,11,1125,144930,128.83,530,663,597,2851,110874,38.89,424,530,477,2547,107072,42.04,,,,,,
11-10-20,29,36,33,1169,144941,123.99,27,34,31,1017,117796,115.83,440,550,495,2984,165978,55.62,19,23,21,740,80147,108.31,9,12,11,1276,167288,131.10,523,654,589,3072,121883,39.68,420,525,473,2759,111579,40.44,,,,,,
11-14-20,28,34,31,1437,179221,124.72,26,32,29,1200,139443,116.20,436,544,490,3473,199267,57.38,18,22,20,893,95325,106.75,9,11,10,1436,181748,126.57,512,639,576,3882,168116,43.31,415,519,467,3152,135430,42.97,,,,,,
11-17-20,26,33,30,1679,210712,125.50,25,32,29,1394,164562,118.05,434,542,488,3562,203249,57.06,17,21,19,1059,117194,110.66,9,11,10,1595,202738,127.11,496,621,559,4488,204324,45.53,411,514,463,3159,139977,44.31,,,,,,
11-21-20,25,32,29,1555,189864,122.10,25,31,28,1392,167649,120.44,429,536,483,3548,199799,56.31,16,20,18,1033,120009,116.18,9,11,10,1667,214118,128.45,489,611,550,4673,219394,46.95,410,512,461,3007,129296,43.00,,,,,,
11-25-20,25,31,28,1335,161305,120.83,24,30,27,1220,147404,120.82,422,527,475,3525,201374,57.13,16,20,18,962,114649,119.18,8,10,9,1506,193927,128.77,488,610,549,4284,193938,45.27,403,504,454,3184,129930,40.81,,,,,,
